"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"41938458","","NEW","2016-02-08T23:40:21","C","","","N","Y","OFF","2018-02-12","2019-02-12"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","NZD-BBR-FRA","Percent","2.825","","","NZD","NZD","380,000,000+","380,000,000+","6M","3M","","3M","","","","","","","","","","","",""
"41938459","","NEW","2016-02-08T23:40:17","C","","","N","Y","OFF","2017-02-13","2018-02-13"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:FixedFloat","Trade","NZD-BBR-FRA","FIXED","Percent","2.65","","","NZD","NZD","380,000,000+","380,000,000+","3M","6M","3M","","","","","","","","","","","","",""
"41940709","","NEW","2016-02-08T19:45:00","U","PC","","N","Y","OFF","2016-02-16","2017-03-09"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","FIXED","USD-LIBOR-BBA","Percent","0.75","","","USD","USD","460,000,000+","460,000,000+","6M","3M","","3M","","","","","","","","","Percent","0","",""
"41939597","","NEW","2016-02-08T19:45:00","U","PC","","N","Y","OFF","2016-02-16","2017-03-09"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","FIXED","USD-LIBOR-BBA","Percent","0.75","","","USD","USD","460,000,000+","460,000,000+","6M","3M","","3M","","","","","","","","","Percent","0","",""
"41939598","","NEW","2016-02-09T00:03:51","C","","","N","N","OFF","2016-06-20","2016-12-20"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:FixedFloat","Trade","NZD-BBR-FRA","FIXED","Percent","2.745","NZD","302,000","NZD","NZD","300,000,000","300,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41939599","","NEW","2016-02-08T23:21:54","C","","","N","N","OFF","2014-01-06","2021-11-15"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","0","USD","721,166.7945","USD","USD","3,000,000","3,000,000","1T","6M","3M","","","","","","","","","","","","",""
"41939584","","NEW","2016-02-09T00:04:27","C","","","N","N","ON","2016-02-12","2026-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.16","","","JPY","JPY","2,000,000,000","2,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41939585","","NEW","2016-02-08T19:45:00","U","PC","","N","Y","OFF","2016-02-16","2017-03-09"," 30/360","USD","IR","","InterestRate:Option:Swaption","Amendment","USD-LIBOR-BBA","FIXED","Percent","0.75","","","USD","USD","460,000,000+","460,000,000+","3M","6M","3M","","EMBED1","0.75","XX","EU","USD","64,400","","2016-09-01","Spread","0","",""
"41939587","","NEW","2016-02-08T19:45:00","U","PC","","N","N","OFF","2016-09-09","2017-03-09"," 30/360","USD","IR","","InterestRate:Option:Swaption","Amendment","USD-LIBOR-BBA","FIXED","Percent","0.75","","","USD","USD","1,000,000,000","1,000,000,000","3M","6M","3M","","EMBED1","0.75","XX","EU","USD","140,000","","2016-09-01","Spread","0","",""
"41939589","","NEW","2016-02-08T23:57:08","C","","","N","N","OFF","2016-02-11","2019-02-11"," ACT/365.FIXED","AUD","IR","","InterestRate:IRSwap:FixedFloat","Trade","AUD-BBR-BBSW","FIXED","Percent","2.035","","","AUD","AUD","100,000,000","100,000,000","3M","3M","3M","","","","","","","","","","","","",""
